Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,77.150002,77.500000,76.349998,76.500000,53.070778,969100
2005-01-04,76.500000,77.059998,76.309998,76.680000,53.195648,1190000
2005-01-05,76.750000,76.849998,75.699997,75.949997,52.689217,710600
2005-01-06,75.949997,76.370003,75.199997,76.000000,52.723896,782300
2005-01-07,75.800003,76.400002,75.699997,76.089996,52.786324,936700
2005-01-10,76.250000,76.379997,75.639999,76.019997,52.737782,586000
2005-01-11,75.599998,76.040001,75.370003,75.860001,52.626781,457600
2005-01-12,75.650002,76.250000,75.550003,76.110001,52.800209,639000
2005-01-13,76.660004,77.300003,76.449997,76.800003,53.278904,1048400
2005-01-14,76.809998,77.320000,76.809998,77.059998,53.459267,760400
2005-01-18,76.949997,79.260002,76.940002,79.160004,54.916088,1071400
2005-01-19,79.000000,79.800003,78.199997,78.279999,54.305634,879000
2005-01-20,77.500000,77.500000,76.320000,76.750000,53.244209,907800
2005-01-21,76.699997,76.800003,75.029999,75.199997,52.168915,982900
2005-01-24,75.199997,75.800003,74.949997,75.290001,52.231342,750800
2005-01-25,75.500000,75.620003,74.919998,74.919998,51.974686,606100
2005-01-26,75.099998,75.430000,74.580002,75.349998,52.272968,657900
2005-01-27,75.750000,76.050003,75.250000,75.250000,52.203617,749900
2005-01-28,75.800003,75.800003,73.500000,73.720001,51.142185,682700
2005-01-31,74.000000,74.980003,74.000000,74.779999,51.877548,761700
2005-02-01,75.050003,75.779999,74.599998,75.660004,52.488033,483700
2005-02-02,75.800003,75.900002,75.169998,75.620003,52.460293,715600
2005-02-03,75.669998,75.989998,75.519997,75.779999,52.571289,366300
2005-02-04,76.000000,77.050003,76.000000,77.050003,53.452316,396100
2005-02-07,76.949997,77.550003,76.629997,77.209999,53.563320,441500
2005-02-08,77.690002,77.690002,76.629997,76.989998,53.410698,821600
2005-02-09,77.430000,77.690002,76.250000,76.489998,53.063831,598900
2005-02-10,75.750000,75.760002,73.540001,75.000000,52.030159,2234700
2005-02-11,75.099998,75.720001,74.699997,75.459999,52.349293,802400
2005-02-14,74.900002,75.949997,74.849998,75.750000,52.550476,652300
2005-02-15,75.849998,76.379997,75.540001,76.099998,52.793297,651600
2005-02-16,76.099998,76.519997,75.790001,76.339996,52.959789,798000
2005-02-17,76.480003,77.019997,76.000000,76.440002,53.029148,835700
2005-02-18,76.720001,77.000000,76.260002,76.750000,53.244209,669600
2005-02-22,76.750000,77.050003,75.300003,75.300003,52.238304,713600
2005-02-23,75.500000,75.820000,74.900002,75.080002,52.085670,426900
2005-02-24,75.300003,75.320000,74.730003,74.959999,52.002403,731400
2005-02-25,75.099998,75.180000,74.839996,75.029999,52.050961,788800
2005-02-28,75.099998,75.440002,74.620003,75.000000,52.030159,992600
2005-03-01,75.250000,76.110001,75.250000,75.650002,52.481113,901000
2005-03-02,75.660004,75.800003,75.220001,75.300003,52.238304,1177300
2005-03-03,75.519997,75.779999,74.860001,75.480003,52.363155,612500
2005-03-04,75.800003,75.949997,75.550003,75.669998,52.494984,716700
2005-03-07,75.699997,75.870003,74.900002,75.000000,52.030159,1106800
2005-03-08,74.699997,74.699997,73.800003,73.839996,51.569248,1021300
2005-03-09,73.879997,74.220001,73.160004,73.300003,51.192108,800500
2005-03-10,73.500000,73.699997,72.599998,73.150002,51.087353,946900
2005-03-11,73.099998,73.110001,72.699997,72.849998,50.877823,557900
2005-03-14,72.849998,73.779999,72.849998,73.300003,51.192108,767800
2005-03-15,73.480003,73.730003,72.620003,72.760002,50.814960,1010900
2005-03-16,72.610001,73.349998,72.199997,73.309998,51.199078,1072100
2005-03-17,73.690002,73.809998,73.099998,73.669998,51.450485,903500
2005-03-18,73.769997,73.879997,72.209999,72.860001,50.884789,908400
2005-03-21,72.860001,73.269997,72.510002,72.839996,50.870811,588800
2005-03-22,72.800003,72.800003,71.260002,71.410004,49.872139,701100
2005-03-23,71.410004,71.680000,70.980003,71.129997,49.676579,546300
2005-03-24,71.300003,71.769997,70.889999,70.930000,49.536915,534900
2005-03-28,71.529999,72.400002,71.099998,72.190002,50.416870,608300
2005-03-29,72.500000,73.330002,72.400002,72.589996,50.696243,810900
2005-03-30,72.949997,72.949997,71.940002,72.750000,50.807976,598900
2005-03-31,73.099998,73.150002,72.220001,72.370003,50.542591,552600
2005-04-01,72.550003,72.800003,71.000000,71.650002,50.039753,1625000
2005-04-04,71.800003,72.410004,71.220001,71.220001,49.739449,2182400
2005-04-05,71.519997,71.639999,70.169998,70.580002,49.292480,1478400
2005-04-06,71.199997,71.449997,69.989998,70.250000,49.062000,1068300
2005-04-07,70.250000,70.489998,69.690002,69.839996,48.775650,1093300
2005-04-08,70.010002,70.129997,68.260002,68.610001,47.916641,1298900
2005-04-11,68.849998,69.120003,68.300003,68.550003,47.874718,1160100
2005-04-12,68.449997,69.599998,68.349998,69.519997,48.552181,976800
2005-04-13,69.580002,69.779999,68.680000,68.870003,48.098221,621900
2005-04-14,69.220001,69.269997,68.550003,68.699997,47.979488,978600
2005-04-15,68.699997,68.849998,67.949997,68.099998,47.560455,975700
2005-04-18,68.209999,68.339996,67.400002,67.699997,47.281109,905600
2005-04-19,69.000000,69.470001,68.349998,68.750000,48.014412,1374100
2005-04-20,68.529999,68.830002,67.650002,67.750000,47.316010,828300
2005-04-21,68.449997,68.559998,67.809998,68.199997,47.630295,997500
2005-04-22,68.449997,68.459999,67.610001,68.199997,47.630295,1213000
2005-04-25,68.900002,69.120003,67.980003,68.300003,47.700134,1210400
2005-04-26,68.400002,68.599998,67.480003,67.709999,47.288086,626100
2005-04-27,68.260002,69.419998,68.110001,69.180000,48.314724,2766200
2005-04-28,69.650002,69.750000,68.660004,69.050003,48.223946,1667400
2005-04-29,69.570000,70.360001,68.900002,70.300003,49.096924,2640800
2005-05-02,70.839996,72.320000,70.660004,71.279999,49.781342,1754400
2005-05-03,72.440002,73.080002,72.000000,72.849998,50.877823,2811800
2005-05-04,72.849998,74.050003,72.849998,74.000000,51.680969,1339600
2005-05-05,74.000000,74.339996,73.220001,73.879997,51.597168,1107200
2005-05-06,74.129997,74.300003,73.790001,73.860001,51.583191,656400
2005-05-09,74.059998,75.080002,73.800003,75.080002,52.435230,896100
2005-05-10,75.080002,75.080002,74.029999,74.250000,51.855568,1293700
