Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,98.970001,99.099998,97.250000,97.750000,70.570686,5295200
2005-01-04,97.739998,98.419998,96.519997,96.699997,69.812630,5711000
2005-01-05,96.599998,97.830002,96.400002,96.500000,69.668236,5646700
2005-01-06,96.540001,96.980003,96.050003,96.199997,69.451660,4561700
2005-01-07,96.500000,96.800003,95.470001,95.779999,69.148453,6200700
2005-01-10,95.779999,96.089996,95.239998,95.680000,69.076248,4625100
2005-01-11,95.680000,95.790001,94.709999,95.000000,68.585335,4746400
2005-01-12,95.000000,95.279999,94.059998,95.209999,68.736916,5828600
2005-01-13,95.389999,96.199997,93.699997,94.449997,68.188240,5339400
2005-01-14,94.010002,94.250000,93.550003,94.099998,67.935570,5520800
2005-01-18,93.650002,95.339996,93.620003,94.900002,68.513123,8492100
2005-01-19,94.949997,95.150002,92.930000,93.099998,67.213631,7352700
2005-01-20,92.610001,93.839996,92.599998,93.000000,67.141411,5708600
2005-01-21,93.000000,93.300003,92.230003,92.379997,66.693810,7002600
2005-01-24,92.699997,92.849998,91.760002,91.790001,66.267876,6537300
2005-01-25,91.980003,92.589996,91.949997,92.190002,66.556664,5070700
2005-01-26,92.300003,92.870003,91.940002,91.949997,66.383354,5352000
2005-01-27,91.500000,92.220001,91.440002,91.980003,66.405029,4746900
2005-01-28,92.680000,93.589996,92.480003,92.889999,67.061989,5960600
2005-01-31,93.650002,93.949997,93.050003,93.419998,67.444656,4759900
2005-02-01,93.669998,94.000000,93.370003,93.860001,67.762291,3637400
2005-02-02,93.779999,94.349998,93.629997,94.300003,68.079941,3597400
2005-02-03,93.870003,93.940002,93.059998,93.540001,67.531265,3928700
2005-02-04,93.010002,94.739998,93.000000,94.510002,68.231567,3807600
2005-02-07,94.349998,94.900002,94.330002,94.529999,68.246002,2837800
2005-02-08,94.209999,94.639999,94.129997,94.129997,68.086853,3541100
2005-02-09,94.139999,94.830002,92.540001,92.699997,67.052490,5657100
2005-02-10,92.949997,93.099998,92.300003,92.760002,67.095940,4838400
2005-02-11,92.699997,93.970001,92.500000,93.300003,67.486526,4229300
2005-02-14,93.160004,94.019997,93.160004,93.570000,67.681786,2868800
2005-02-15,93.500000,94.669998,93.480003,94.330002,68.231537,4148000
2005-02-16,94.230003,94.970001,94.199997,94.620003,68.441299,4466500
2005-02-17,94.500000,94.760002,93.739998,93.750000,67.811989,4254200
2005-02-18,93.750000,94.250000,92.900002,93.269997,67.464798,4265300
2005-02-22,92.669998,93.500000,92.230003,92.320000,66.777657,4825100
2005-02-23,92.290001,92.440002,91.550003,92.099998,66.618523,5622800
2005-02-24,91.980003,93.089996,91.849998,92.639999,67.009094,4153900
2005-02-25,92.349998,92.800003,92.290001,92.800003,67.124863,4078500
2005-02-28,92.529999,92.760002,92.410004,92.580002,66.965714,4949800
2005-03-01,92.639999,93.430000,92.589996,93.300003,67.486526,3819900
2005-03-02,92.750000,93.730003,92.750000,92.919998,67.211639,4467400
2005-03-03,93.150002,93.209999,92.199997,92.410004,66.842743,4037800
2005-03-04,92.940002,93.180000,92.360001,92.370003,66.813805,4754000
2005-03-07,92.349998,92.510002,91.589996,91.599998,66.256874,7046900
2005-03-08,91.699997,92.559998,91.699997,92.129997,66.640236,5087800
